"name","name_ascii","type","county_fips","state_id","state_name","lat","lng","population"
"Tradewinds","Tradewinds","City","48409","TX","Texas","27.995","-97.2602","273"
"Toyah","Toyah","City","48389","TX","Texas","31.3125","-103.7946","87"
"Tow","Tow","City","48299","TX","Texas","30.8889","-98.4631","162"
"Tornillo","Tornillo","City","48141","TX","Texas","31.4366","-106.1033","1360"
"Tool","Tool","City","48213","TX","Texas","32.2803","-96.1725","2778"
"Tomball","Tomball","City","48201","TX","Texas","30.0951","-95.6194","12333"
"Tom Bean","Tom Bean","City","48181","TX","Texas","33.52","-96.4844","910"
"Tolar","Tolar","City","48221","TX","Texas","32.3895","-97.919","1405"
"Todd Mission","Todd Mission","City","48185","TX","Texas","30.2613","-95.8298","116"
"Toco","Toco","City","48277","TX","Texas","33.6539","-95.6492","40"
"Tivoli","Tivoli","City","48391","TX","Texas","28.4608","-96.8915","645"
"Tira","Tira","City","48223","TX","Texas","33.3222","-95.5606","369"
"Tioga","Tioga","City","48181","TX","Texas","33.4728","-96.9186","1046"
"Timpson","Timpson","City","48419","TX","Texas","31.9065","-94.3971","1132"
"Timberwood Park","Timberwood Park","City","48029","TX","Texas","29.6995","-98.4838","33506"
"Timbercreek Canyon","Timbercreek Canyon","City","48381","TX","Texas","35.0539","-101.8186","531"
"Tilden","Tilden","City","48311","TX","Texas","28.46","-98.5487","227"
"Tiki Island","Tiki Island","City","48167","TX","Texas","29.298","-94.9159","982"
"Tierra Verde","Tierra Verde","City","48355","TX","Texas","27.7616","-97.7174","232"
"Tierra Grande","Tierra Grande","City","48355","TX","Texas","27.7037","-97.5718","185"
"Tierra Dorada","Tierra Dorada","City","48427","TX","Texas","26.4007","-98.9213","0"
"Tierra Bonita","Tierra Bonita","City","48061","TX","Texas","26.2727","-97.8276","57"
"Thunderbird Bay","Thunderbird Bay","City","48049","TX","Texas","31.9087","-99.0207","760"
"Throckmorton","Throckmorton","City","48447","TX","Texas","33.182","-99.1797","627"
"Three Rivers","Three Rivers","City","48297","TX","Texas","28.4668","-98.1784","1598"
"Thrall","Thrall","City","48491","TX","Texas","30.5882","-97.2977","880"
"Thorntonville","Thorntonville","City","48475","TX","Texas","31.5789","-102.9221","385"
"Thornton","Thornton","City","48293","TX","Texas","31.4111","-96.5738","535"
"Thorndale","Thorndale","City","48331","TX","Texas","30.6141","-97.2068","1474"
"Thompsonville","Thompsonville","City","48247","TX","Texas","27.2601","-98.7847","216"
"Thompsons","Thompsons","City","48157","TX","Texas","29.4906","-95.6304","265"
"The Woodlands","The Woodlands","City","48339","TX","Texas","30.1738","-95.5134","292380"
"The Homesteads","The Homesteads","City","48251","TX","Texas","32.4755","-97.1663","3626"
"The Hills","The Hills","City","48453","TX","Texas","30.3465","-97.9864","2602"
"The Colony","The Colony","City","48121","TX","Texas","33.0925","-96.8976","43489"
"Texline","Texline","City","48111","TX","Texas","36.3765","-103.0189","401"
"Texhoma","Texhoma","City","48421","TX","Texas","36.4937","-101.7937","382"
"Texas City","Texas City","City","48167","TX","Texas","29.4154","-94.9682","122017"
"Texarkana","Texarkana","City","48037","TX","Texas","33.45","-94.0847","79304"
"Terrell Hills","Terrell Hills","City","48029","TX","Texas","29.4771","-98.4472","5047"
"Terrell","Terrell","City","48257","TX","Texas","32.734","-96.2931","17083"
"Terlingua","Terlingua","City","48043","TX","Texas","29.2991","-103.5796","127"
"Tenaha","Tenaha","City","48419","TX","Texas","31.944","-94.2457","1372"
"Temple","Temple","City","48027","TX","Texas","31.1068","-97.3891","115809"
"Tehuacana","Tehuacana","City","48293","TX","Texas","31.7411","-96.5436","222"
"Teague","Teague","City","48161","TX","Texas","31.6296","-96.2802","3410"
"Taylor Landing","Taylor Landing","City","48245","TX","Texas","29.8641","-94.1348","297"
"Taylor Lake Village","Taylor Lake Village","City","48201","TX","Texas","29.5765","-95.0561","3694"
"Taylor","Taylor","City","48491","TX","Texas","30.5729","-97.4268","16154"
"Tatum","Tatum","City","48401","TX","Texas","32.3159","-94.5189","1234"
"Tanquecitos South Acres II","Tanquecitos South Acres II","City","48479","TX","Texas","27.487","-99.3882","0"
"Tanquecitos South Acres","Tanquecitos South Acres","City","48479","TX","Texas","27.4898","-99.3797","199"
"Talty","Talty","City","48257","TX","Texas","32.6944","-96.4009","2420"
"Talco","Talco","City","48449","TX","Texas","33.3628","-95.1034","577"
"Tahoka","Tahoka","City","48305","TX","Texas","33.164","-101.7949","2350"
"Taft Southwest","Taft Southwest","City","48409","TX","Texas","27.9711","-97.4055","1537"
"Taft","Taft","City","48409","TX","Texas","27.98","-97.3928","2844"
"Sylvester","Sylvester","City","48151","TX","Texas","32.7221","-100.2507","40"
